home_teams,away_teams
boise-state,fresno-state
north-carolina,clemson
georgia,louisiana-state
michigan,purdue
ohio,toledo
texas-christian,kansas-state
troy,coastal-carolina
tulane,central-florida
buffalo,akron
southern-california,utah
texas-san-antonio,north-texas
