home_teams,away_teams
connecticut,marshall
boise-state,north-texas
brigham-young,southern-methodist
florida,oregon-state
fresno-state,washington-state
louisville,cincinnati
southern-mississippi,rice
alabama-birmingham,miami-oh
troy,texas-san-antonio
