pass_cmp_home_off,pass_att_home_off,pass_pct_home_off,pass_yds_home_off,pass_td_home_off,rush_att_home_off,rush_yds_home_off,rush_avg_home_off,rush_td_home_off,total_plays_home_off,total_yds_home_off,total_avg_home_off,penalty_num_home_off,penalty_yds_home_off,fumbles_home_off,interceptions_home_off,turnovers_home_off,pass_cmp_home_def,pass_att_home_def,pass_pct_home_def,pass_yds_home_def,pass_td_home_def,rush_att_home_def,rush_yds_home_def,rush_avg_home_def,rush_td_home_def,total_plays_home_def,total_yds_home_def,total_avg_home_def,penalty_num_home_def,penalty_yds_home_def,fumbles_home_def,interceptions_home_def,turnovers_home_def,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,total_plays,total_yds,total_avg,penalty_num,penalty_yds,fumbles,interceptions,turnovers,pass_cmp_away_off,pass_att_away_off,pass_pct_away_off,pass_yds_away_off,pass_td_away_off,rush_att_away_off,rush_yds_away_off,rush_avg_away_off,rush_td_away_off,total_plays_away_off,total_yds_away_off,total_avg_away_off,penalty_num_away_off,penalty_yds_away_off,fumbles_away_off,interceptions_away_off,turnovers_away_off
21.6,37.1,58.2,307.4,2.8,40.4,160.6,4.0,2.2,77.4,467.9,6.0,5.8,52.7,0.4,1.1,1.4,17.8,30.4,58.6,217.8,1.7,40.2,195.8,4.9,1.8,70.6,413.6,5.9,7.6,67.0,1.0,1.1,2.1,18.8,32.3,58.3,214.8,1.2,37.9,158.2,4.2,1.7,70.2,372.9,5.3,6.8,60.2,0.7,1.1,1.8,21.5,34.5,62.4,250.5,2.2,37.5,134.5,3.6,0.9,72.1,385.1,5.3,7.8,69.8,0.6,0.5,1.2
21.6,37.1,58.2,307.4,2.8,40.4,160.6,4.0,2.2,77.4,467.9,6.0,5.8,52.7,0.4,1.1,1.4,17.8,30.4,58.6,217.8,1.7,40.2,195.8,4.9,1.8,70.6,413.6,5.9,7.6,67.0,1.0,1.1,2.1,17.4,28.3,61.5,201.6,1.7,37.2,177.8,4.8,1.8,65.5,379.4,5.8,6.9,62.5,0.8,1.0,1.8,19.3,33.1,58.2,233.2,2.1,39.5,145.8,3.7,1.3,72.6,379.0,5.2,8.5,70.7,0.5,1.2,1.7
29.2,46.1,63.3,392.6,2.6,28.2,123.3,4.4,1.8,74.3,515.9,6.9,6.4,56.8,0.5,1.0,1.5,18.8,31.3,59.8,240.2,2.2,39.0,225.8,5.8,1.8,70.3,466.0,6.6,6.6,59.3,0.5,0.7,1.2,21.6,37.1,58.2,307.4,2.8,40.4,160.6,4.0,2.2,77.4,467.9,6.0,5.8,52.7,0.4,1.1,1.4,17.8,30.4,58.6,217.8,1.7,40.2,195.8,4.9,1.8,70.6,413.6,5.9,7.6,67.0,1.0,1.1,2.1
21.6,37.1,58.2,307.4,2.8,40.4,160.6,4.0,2.2,77.4,467.9,6.0,5.8,52.7,0.4,1.1,1.4,17.8,30.4,58.6,217.8,1.7,40.2,195.8,4.9,1.8,70.6,413.6,5.9,7.6,67.0,1.0,1.1,2.1,17.0,27.9,60.9,236.5,1.6,38.8,210.2,5.4,2.2,66.7,446.7,6.7,6.2,55.3,0.5,0.5,1.0,21.7,33.2,65.3,245.6,1.5,36.2,158.1,4.4,1.8,69.4,403.7,5.8,5.5,45.2,0.4,0.8,1.2
13.0,23.9,54.4,153.0,0.8,40.8,214.3,5.3,2.3,64.7,367.3,5.7,7.0,57.7,0.5,0.5,1.0,18.6,28.1,66.2,204.3,1.8,36.3,127.9,3.5,1.0,64.3,332.2,5.2,4.7,44.6,0.3,0.3,0.6,21.6,37.1,58.2,307.4,2.8,40.4,160.6,4.0,2.2,77.4,467.9,6.0,5.8,52.7,0.4,1.1,1.4,17.8,30.4,58.6,217.8,1.7,40.2,195.8,4.9,1.8,70.6,413.6,5.9,7.6,67.0,1.0,1.1,2.1
4.6,8.5,54.5,94.8,0.8,58.3,280.6,4.8,3.5,66.8,375.5,5.6,3.8,36.8,0.4,0.2,0.6,15.5,26.2,59.4,211.2,1.2,30.4,118.2,3.9,1.5,56.5,329.4,5.8,4.8,37.2,0.5,0.8,1.2,21.6,37.1,58.2,307.4,2.8,40.4,160.6,4.0,2.2,77.4,467.9,6.0,5.8,52.7,0.4,1.1,1.4,17.8,30.4,58.6,217.8,1.7,40.2,195.8,4.9,1.8,70.6,413.6,5.9,7.6,67.0,1.0,1.1,2.1
21.6,37.1,58.2,307.4,2.8,40.4,160.6,4.0,2.2,77.4,467.9,6.0,5.8,52.7,0.4,1.1,1.4,17.8,30.4,58.6,217.8,1.7,40.2,195.8,4.9,1.8,70.6,413.6,5.9,7.6,67.0,1.0,1.1,2.1,22.1,34.2,64.6,237.9,0.8,43.4,181.2,4.2,1.8,77.6,419.1,5.4,6.5,61.7,1.0,0.8,1.8,20.1,33.7,59.7,311.8,2.7,38.8,206.7,5.3,2.2,72.5,518.4,7.2,6.4,53.6,0.5,0.7,1.2
18.2,29.2,62.4,255.7,2.0,39.5,212.7,5.4,2.3,68.7,468.4,6.8,7.3,69.2,0.4,0.7,1.1,18.0,29.6,60.8,238.0,2.1,38.7,180.6,4.7,1.8,68.3,418.6,6.1,6.2,54.8,0.3,0.8,1.2,21.6,37.1,58.2,307.4,2.8,40.4,160.6,4.0,2.2,77.4,467.9,6.0,5.8,52.7,0.4,1.1,1.4,17.8,30.4,58.6,217.8,1.7,40.2,195.8,4.9,1.8,70.6,413.6,5.9,7.6,67.0,1.0,1.1,2.1
21.6,37.1,58.2,307.4,2.8,40.4,160.6,4.0,2.2,77.4,467.9,6.0,5.8,52.7,0.4,1.1,1.4,17.8,30.4,58.6,217.8,1.7,40.2,195.8,4.9,1.8,70.6,413.6,5.9,7.6,67.0,1.0,1.1,2.1,24.0,36.9,65.0,288.4,2.9,30.9,126.6,4.1,0.9,67.8,415.0,6.1,7.4,64.5,0.3,0.5,0.8,18.1,34.3,52.7,207.6,1.6,32.5,124.1,3.8,0.8,66.8,331.7,5.0,6.9,57.2,0.1,1.3,1.3
17.5,31.8,55.2,191.2,0.9,37.2,169.6,4.6,2.0,69.0,360.8,5.2,6.1,50.5,0.6,0.8,1.5,20.0,35.0,57.1,208.8,0.8,33.7,97.5,2.9,0.5,68.7,306.3,4.5,8.7,68.4,0.5,0.9,1.4,21.6,37.1,58.2,307.4,2.8,40.4,160.6,4.0,2.2,77.4,467.9,6.0,5.8,52.7,0.4,1.1,1.4,17.8,30.4,58.6,217.8,1.7,40.2,195.8,4.9,1.8,70.6,413.6,5.9,7.6,67.0,1.0,1.1,2.1
