home_team,away_team,outcome,pts_for,pts_against
florida-atlantic,rice,W,17,14
utep,florida-atlantic,W,24,21
western-kentucky,austin-peay,W,38,27
hawaii,western-kentucky,L,17,49
western-kentucky,florida-international,W,73,0
western-kentucky,troy,L,27,34
utsa,western-kentucky,W,31,28
middle-tennessee-state,western-kentucky,L,17,35
western-kentucky,uab,W,20,17
charlotte,william-&-mary,L,24,41
georgia-state,charlotte,L,41,42
south-carolina,charlotte,W,56,20
charlotte,utep,L,35,41
uab,charlotte,W,34,20
charlotte,florida-international,L,15,34
james-madison,middle-tennessee-state,W,7,44
colorado-state,middle-tennessee-state,L,19,34
middle-tennessee-state,tennessee-state,W,6,49
middle-tennessee-state,utsa,L,30,45
uab,middle-tennessee-state,W,41,14
florida-international,bryant,W,38,37
texas-state,florida-international,W,41,12
new-mexico-state,florida-international,L,21,7
florida-international,connecticut,L,12,33
florida-international,utsa,L,10,30
florida-international,louisiana-tech,W,42,34
old-dominion,arkansas-state,W,29,26
old-dominion,liberty,L,24,38
coastal-carolina,old-dominion,L,21,49
old-dominion,georgia-southern,L,23,28
uab,alabama-a&m,W,59,0
liberty,uab,W,21,14
uab,georgia-southern,W,35,21
rice,uab,W,28,24
army,utsa,L,38,41
utsa,texas-southern,W,52,24
utsa,north-texas,W,31,27
missouri,louisiana-tech,W,52,24
louisiana-tech,stephen-f.-austin,W,52,17
south-alabama,louisiana-tech,W,38,14
louisiana-tech,utep,W,41,31
north-texas,louisiana-tech,W,47,27
louisiana-tech,rice,L,41,42
utep,north-texas,L,13,31
north-texas,texas-southern,W,59,27
nevada-las-vegas,north-texas,W,58,27
usc,rice,W,66,14
rice,mcneese-state,W,52,10
rice,louisiana,W,33,21
southern-mississippi,liberty,L,27,29
southern-mississippi,northwestern-state,W,64,10
troy,southern-mississippi,W,27,10
southern-mississippi,arkansas-state,W,20,19
texas-state,southern-mississippi,L,14,20
southern-mississippi,louisiana,W,39,24
utep,new-mexico-state,W,20,13
new-mexico,utep,W,27,10
utep,boise-state,W,27,10
liberty,akron,W,21,12
massachusetts,liberty,L,24,42
liberty,gardner-webb,W,21,20
liberty,byu,W,41,14
toledo,massachusetts,W,55,10
massachusetts,stony-brook,W,3,20
eastern-michigan,massachusetts,W,20,13
massachusetts,buffalo,L,34,7
new-mexico-state,nevada,L,12,23
new-mexico-state,hawaii,W,45,26
new-mexico-state,new-mexico,W,9,21
oregon,byu,W,41,20
byu,wyoming,W,38,24
byu,utah-state,W,38,26
byu,notre-dame,L,20,28
byu,arkansas,L,35,52
coastal-carolina,army,W,38,28
army,villanova,W,49,10
army,georgia-state,L,14,31
army,colgate,W,42,17
army,louisiana-monroe,W,48,24
utah-state,connecticut,W,31,20
connecticut,central-connecticut-state,W,3,28
connecticut,fresno-state,W,19,14
ball-state,connecticut,W,25,21
buffalo,holy-cross,L,31,37
coastal-carolina,buffalo,W,38,26
eastern-michigan,buffalo,L,31,50
buffalo,miami-(oh),W,24,20
bowling-green,buffalo,L,38,7
buffalo,toledo,W,34,27
washington,kent-state,W,45,20
kent-state,liu,W,63,10
georgia,kent-state,W,39,22
kent-state,ohio,W,31,24
miami-(oh),kent-state,W,27,24
toledo,kent-state,W,52,31
kent-state,akron,W,33,27
kentucky,miami-(oh),W,37,13
miami-(oh),robert-morris,W,31,14
miami-(oh),cincinnati,L,17,38
bowling-green,miami-(oh),W,17,13
miami-(oh),western-michigan,L,10,16
ohio,fordham,W,59,52
ohio,akron,W,55,34
western-michigan,ohio,L,14,33
ohio,northern-illinois,W,24,17
akron,st.-francis-(pa),W,30,23
tennessee,akron,W,63,6
akron,bowling-green,L,28,31
akron,central-michigan,L,21,28
ucla,bowling-green,W,45,17
bowling-green,eastern-kentucky,L,57,59
mississippi-state,bowling-green,W,45,14
central-michigan,bowling-green,L,18,34
tennessee,ball-state,W,59,10
ball-state,western-michigan,L,30,37
ball-state,murray-state,W,31,0
georgia-southern,ball-state,W,34,23
ball-state,northern-illinois,W,44,38
central-michigan,ball-state,L,16,17
ball-state,eastern-michigan,L,16,20
toledo,liu,W,37,0
san-diego-state,toledo,W,17,14
toledo,central-michigan,W,38,17
northern-illinois,toledo,L,32,52
san-jose-state,western-michigan,W,6,34
western-michigan,new-hampshire,W,7,44
western-michigan,eastern-michigan,L,23,45
central-michigan,south-alabama,L,24,38
central-michigan,bucknell,W,41,0
eastern-michigan,eastern-kentucky,W,42,34
louisiana,eastern-michigan,W,49,21
arizona-state,eastern-michigan,L,21,30
eastern-michigan,northern-illinois,L,10,39
northern-illinois,eastern-illinois,W,34,27
northern-illinois,vanderbilt,L,28,38
kentucky,northern-illinois,W,31,23
oregon-state,boise-state,W,34,17
new-mexico,boise-state,L,14,31
boise-state,tennessee-martin,W,7,30
boise-state,san-diego-state,W,35,13
boise-state,fresno-state,W,40,20
air-force,boise-state,L,14,19
air-force,northern-iowa,W,48,17
air-force,colorado,W,41,10
wyoming,air-force,W,17,14
air-force,nevada,W,48,20
utah-state,air-force,W,34,27
nevada-las-vegas,air-force,L,42,7
wyoming,northern-colorado,W,33,10
wyoming,san-jose-state,L,16,33
new-mexico,wyoming,L,14,27
wyoming,utah-state,W,28,14
new-mexico,maine,W,41,0
lsu,new-mexico,W,38,0
nevada-las-vegas,new-mexico,W,31,20
new-mexico,fresno-state,L,41,9
washington-state,colorado-state,W,7,38
colorado-state,sacramento-state,L,10,41
nevada,colorado-state,L,14,17
colorado-state,utah-state,L,13,17
colorado-state,hawaii,W,17,13
alabama,utah-state,W,55,0
utah-state,weber-state,L,35,7
utah-state,nevada-las-vegas,L,24,34
san-jose-state,portland-state,W,21,17
auburn,san-jose-state,W,24,16
san-jose-state,nevada-las-vegas,W,7,40
fresno-state,san-jose-state,W,17,10
nevada,texas-state,W,38,14
nevada,incarnate-word,L,41,55
hawaii,nevada,W,31,16
nevada,san-diego-state,L,23,7
san-diego-state,arizona,L,20,38
san-diego-state,idaho-state,W,7,38
utah,san-diego-state,W,7,35
san-diego-state,hawaii,W,16,14
hawaii,vanderbilt,L,10,63
hawaii,duquesne,W,24,14
fresno-state,cal-poly,W,7,35
fresno-state,oregon-state,L,32,35
usc,fresno-state,W,45,17
nevada-las-vegas,idaho-state,W,52,21
california,nevada-las-vegas,W,20,14
oregon,georgia,L,3,49
oregon,eastern-washington,W,70,14
washington-state,oregon,L,41,44
oregon,stanford,W,45,27
arizona,oregon,L,22,49
oregon,ucla,W,45,30
washington,portland-state,W,6,52
washington,stanford,W,40,22
ucla,washington,W,40,32
arizona-state,washington,W,45,38
washington,arizona,W,49,39
california,washington,L,21,28
stanford,colgate,W,41,10
stanford,usc,L,28,41
stanford,oregon-state,L,27,28
stanford,arizona-state,W,15,14
oregon-state,montana-state,W,68,28
oregon-state,usc,L,14,17
utah,oregon-state,W,42,16
oregon-state,washington-state,W,24,10
oregon-state,colorado,W,9,42
california,california-davis,W,34,13
california,arizona,W,49,31
washington-state,california,W,9,28
colorado,california,W,20,13
washington-state,idaho,W,24,17
usc,washington-state,W,30,14
washington-state,utah,L,17,21
usc,arizona-state,W,42,25
utah,usc,W,43,42
colorado,ucla,L,17,45
arizona,colorado,W,43,20
florida,utah,W,29,26
utah,southern-utah,W,73,7
arizona-state,utah,L,13,34
ucla,utah,W,42,32
arizona-state,northern-arizona,W,40,3
ucla,alabama-state,W,7,45
ucla,south-alabama,W,32,31
arizona,mississippi-state,L,17,39
arizona,north-dakota-state,W,31,28
florida,kentucky,L,16,26
tennessee,florida,W,38,33
florida,eastern-washington,W,52,17
florida,missouri,W,24,17
florida,lsu,L,35,45
georgia,oregon,W,49,3
georgia,samford,W,33,0
south-carolina,georgia,L,48,7
missouri,georgia,L,22,26
georgia,auburn,W,42,10
georgia,vanderbilt,W,55,0
missouri,abilene-christian,W,34,17
auburn,missouri,W,17,14
missouri,vanderbilt,W,17,14
kentucky,youngstown-state,W,31,0
ole-miss,kentucky,W,22,19
kentucky,south-carolina,L,14,24
kentucky,mississippi-state,W,27,17
lsu,tennessee,L,13,40
tennessee,alabama,W,52,49
tennessee,tennessee-martin,W,65,24
south-carolina,georgia-state,W,35,14
arkansas,south-carolina,W,44,30
south-carolina,south-carolina-state,W,50,10
south-carolina,texas-a&m,W,30,24
vanderbilt,elon,W,42,31
alabama,vanderbilt,W,55,3
vanderbilt,ole-miss,L,28,52
alabama,louisiana-monroe,W,7,63
arkansas,alabama,L,26,49
alabama,texas-a&m,W,24,20
alabama,mississippi-state,W,6,30
texas-a&m,sam-houston-state,W,31,0
texas-a&m,appalachian-state,L,14,17
texas-a&m,arkansas,W,23,21
mississippi-state,texas-a&m,W,42,24
auburn,mercer,W,42,16
auburn,lsu,L,17,21
ole-miss,auburn,W,48,34
lsu,florida-state,L,23,24
lsu,southern,W,65,17
lsu,mississippi-state,W,31,16
lsu,ole-miss,W,45,20
ole-miss,troy,W,28,10
ole-miss,central-arkansas,W,59,3
mississippi-state,arkansas,W,40,17
arkansas,missouri-state,W,38,27
arkansas,texas-a&m,L,21,23
coastal-carolina,gardner-webb,W,31,27
georgia-state,coastal-carolina,L,24,41
coastal-carolina,georgia-southern,W,34,30
louisiana-monroe,coastal-carolina,L,21,28
appalachian-state,troy,W,32,28
appalachian-state,james-madison,L,28,32
appalachian-state,the-citadel,W,49,0
texas-state,appalachian-state,W,36,24
appalachian-state,georgia-state,W,42,17
georgia-southern,morgan-state,W,7,59
georgia-state,georgia-southern,W,41,33
georgia-southern,james-madison,W,45,38
troy,alabama-a&m,W,38,17
troy,texas-state,W,17,14
south-alabama,troy,L,10,6
louisiana,southeastern-louisiana,W,7,24
louisiana-monroe,louisiana,W,21,17
louisiana,south-alabama,L,17,20
louisiana,arkansas-state,W,38,18
south-alabama,nicholls-state,W,7,48
south-alabama,louisiana-monroe,W,41,34
arkansas-state,grambling-state,W,58,3
arkansas-state,louisiana-monroe,W,45,28
arkansas-state,james-madison,L,20,42
texas-state,houston-baptist,W,34,0
james-madison,texas-state,W,40,13
louisiana-monroe,nicholls-state,W,7,35
