home_team,away_team,outcome,pts_for,pts_against
georgia-tech,clemson,L,10,41
clemson,furman,W,35,12
clemson,louisiana-tech,W,48,20
wake-forest,clemson,L,45,51
clemson,north-carolina-state,W,30,20
boston-college,clemson,L,3,31
florida-state,clemson,L,28,34
clemson,syracuse,W,27,21
ohio-state,notre-dame,W,21,10
notre-dame,marshall,L,21,26
notre-dame,california,W,24,17
north-carolina,notre-dame,L,32,45
notre-dame,byu,W,28,20
notre-dame,stanford,L,14,16
notre-dame,nevada-las-vegas,W,44,21
east-carolina,north-carolina-state,L,20,21
north-carolina-state,charleston-southern,W,55,3
north-carolina-state,texas-tech,W,27,14
north-carolina-state,connecticut,W,41,10
north-carolina-state,florida-state,W,19,17
syracuse,north-carolina-state,W,9,24
north-carolina-state,virginia-tech,W,22,21
boston-college,rutgers,L,21,22
virginia-tech,boston-college,W,27,10
boston-college,maine,W,38,17
florida-state,boston-college,W,44,14
boston-college,louisville,W,34,33
wake-forest,boston-college,W,43,15
wake-forest,virginia-military-institute,W,44,10
vanderbilt,wake-forest,L,25,45
wake-forest,liberty,W,37,36
florida-state,wake-forest,L,21,31
wake-forest,army,W,45,10
syracuse,louisville,W,7,31
ucf,louisville,L,14,20
louisville,florida-state,L,31,35
louisville,south-florida,W,41,3
virginia,louisville,L,17,34
louisville,pitt,W,24,10
florida-state,duquesne,W,7,47
florida-state,lsu,W,24,23
connecticut,syracuse,L,14,48
syracuse,purdue,W,32,29
syracuse,virginia,W,22,20
syracuse,wagner,W,59,0
miami-(fl),bethune-cookman,W,70,13
miami-(fl),southern-mississippi,W,7,30
texas-a&m,miami-(fl),W,9,17
miami-(fl),middle-tennessee-state,L,31,45
miami-(fl),north-carolina,L,24,27
virginia-tech,miami-(fl),L,14,20
miami-(fl),duke,L,21,45
north-carolina,florida-a&m,W,56,24
appalachian-state,north-carolina,L,61,63
georgia-state,north-carolina,L,28,35
north-carolina,virginia-tech,W,41,10
duke,north-carolina,L,35,38
pitt,west-virginia,W,38,31
pitt,tennessee,L,27,34
western-michigan,pitt,L,13,34
pitt,rhode-island,W,45,24
pitt,georgia-tech,L,21,26
pitt,virginia-tech,W,45,29
old-dominion,virginia-tech,W,20,17
virginia-tech,wofford,W,7,27
virginia-tech,west-virginia,L,10,33
virginia,richmond,W,34,17
illinois,virginia,W,3,24
virginia,old-dominion,W,16,14
duke,virginia,W,38,17
georgia-tech,virginia,L,16,9
georgia-tech,western-carolina,W,35,17
georgia-tech,ole-miss,L,0,42
ucf,georgia-tech,W,27,10
georgia-tech,duke,W,23,20
duke,temple,W,30,0
northwestern,duke,L,23,31
duke,north-carolina-a&t,W,49,20
kansas,duke,W,35,27
arkansas,cincinnati,W,31,24
cincinnati,kennesaw-state,W,63,10
cincinnati,miami-(oh),W,38,17
cincinnati,indiana,W,45,24
tulsa,cincinnati,L,21,31
cincinnati,south-florida,W,28,24
smu,cincinnati,L,27,29
wyoming,tulsa,W,40,37
tulsa,northern-illinois,W,38,35
tulsa,jacksonville-state,W,54,17
ole-miss,tulsa,W,35,27
navy,tulsa,W,53,21
temple,tulsa,L,16,27
mississippi-state,memphis,W,49,23
navy,memphis,L,13,37
memphis,arkansas-state,W,44,32
memphis,north-texas,W,44,34
memphis,temple,W,3,24
memphis,houston,L,32,33
east-carolina,memphis,W,47,45
tulane,memphis,W,38,28
ucf,south-carolina-state,W,56,10
florida-atlantic,ucf,L,14,40
ucf,smu,W,41,19
ucf,temple,W,70,13
east-carolina,ucf,W,34,13
north-texas,smu,L,10,48
smu,lamar,W,45,16
maryland,smu,W,34,27
smu,texas-christian,L,34,42
smu,navy,W,40,34
utsa,houston,L,35,37
texas-tech,houston,W,33,30
houston,kansas,L,30,48
houston,rice,W,34,27
houston,tulane,L,24,27
navy,houston,L,20,38
navy,delaware,L,14,7
east-carolina,navy,L,20,23
air-force,navy,W,13,10
tulane,massachusetts,W,42,10
tulane,alcorn-state,W,52,0
kansas-state,tulane,L,10,17
tulane,southern-mississippi,L,24,27
tulane,east-carolina,W,9,24
south-florida,tulane,L,31,45
east-carolina,old-dominion,W,39,21
east-carolina,campbell,W,49,10
east-carolina,south-florida,W,48,28
byu,east-carolina,L,24,27
temple,lafayette,W,30,14
temple,rutgers,L,14,16
temple,massachusetts,W,28,0
south-florida,byu,L,21,50
south-florida,howard,W,42,20
florida,south-florida,W,31,28
south-florida,east-carolina,L,28,48
oklahoma,utep,W,45,13
oklahoma,kent-state,W,33,3
nebraska,oklahoma,L,14,49
oklahoma,kansas-state,L,34,41
texas-christian,oklahoma,W,55,24
oklahoma,texas,L,0,49
oklahoma,kansas,W,52,42
iowa-state,southeast-missouri-state,W,42,10
iowa,iowa-state,L,10,7
iowa-state,ohio,W,43,10
iowa-state,baylor,L,24,31
kansas,iowa-state,W,14,11
iowa-state,kansas-state,L,10,9
texas,iowa-state,W,24,21
oklahoma-state,central-michigan,W,58,44
oklahoma-state,arizona-state,W,34,17
oklahoma-state,arkansas-pine-bluff,W,7,63
baylor,oklahoma-state,L,25,36
oklahoma-state,texas-tech,W,41,31
texas-christian,oklahoma-state,W,43,40
oklahoma-state,texas,W,41,34
texas,louisiana-monroe,W,52,10
texas,alabama,L,19,20
texas,utsa,W,41,20
texas-tech,texas,W,37,34
texas,west-virginia,W,38,20
texas,oklahoma,W,49,0
colorado,texas-christian,L,13,38
texas-christian,tarleton-state,W,59,17
kansas,texas-christian,L,31,38
texas-christian,kansas-state,W,38,28
west-virginia,kansas,L,42,55
west-virginia,towson,W,7,65
west-virginia,baylor,W,43,40
texas-tech,west-virginia,W,48,10
kansas-state,south-dakota,W,34,0
kansas-state,missouri,W,40,12
kansas-state,texas-tech,W,37,28
texas-tech,murray-state,W,63,10
baylor,albany,W,69,10
byu,baylor,W,26,20
baylor,texas-state,W,7,42
baylor,kansas,W,35,23
kansas,tennessee-tech,W,56,10
ohio-state,arkansas-state,W,45,12
ohio-state,toledo,W,77,21
ohio-state,wisconsin,W,52,21
ohio-state,rutgers,W,49,10
michigan-state,ohio-state,L,20,49
ohio-state,iowa,W,54,10
indiana,illinois,W,23,20
indiana,idaho,W,35,22
indiana,western-kentucky,W,33,30
nebraska,indiana,W,35,21
indiana,michigan,L,10,31
indiana,maryland,L,33,38
rutgers,indiana,W,24,17
purdue,penn-state,L,31,35
penn-state,ohio,W,46,10
auburn,penn-state,L,12,41
penn-state,central-michigan,W,33,14
penn-state,northwestern,W,7,17
michigan,penn-state,W,41,17
penn-state,minnesota,W,45,17
maryland,buffalo,W,31,10
charlotte,maryland,L,21,56
michigan,maryland,W,34,27
maryland,michigan-state,W,27,13
maryland,purdue,L,29,31
maryland,northwestern,W,31,24
michigan,colorado-state,W,7,51
michigan,hawaii,W,56,10
michigan,connecticut,W,59,0
iowa,michigan,L,14,27
rutgers,wagner,W,7,66
rutgers,iowa,L,10,27
rutgers,nebraska,L,13,14
michigan-state,western-michigan,W,35,13
michigan-state,akron,W,52,0
washington,michigan-state,W,39,28
michigan-state,minnesota,L,34,7
michigan-state,wisconsin,W,34,28
northwestern,nebraska,W,31,28
northwestern,southern-illinois,L,24,31
northwestern,miami-(oh),L,14,17
northwestern,wisconsin,L,42,7
iowa,south-dakota-state,W,7,3
iowa,nevada,W,27,0
illinois,iowa,W,9,6
wisconsin,illinois-state,W,38,0
wisconsin,washington-state,L,14,17
wisconsin,new-mexico-state,W,7,66
wisconsin,illinois,L,10,34
wisconsin,purdue,W,35,24
minnesota,new-mexico-state,W,38,0
minnesota,western-illinois,W,62,10
minnesota,colorado,W,7,49
minnesota,purdue,L,10,20
illinois,minnesota,W,26,14
nebraska,northwestern,L,28,31
nebraska,north-dakota,W,38,17
nebraska,georgia-southern,L,42,45
purdue,nebraska,W,43,37
purdue,indiana-state,W,56,0
purdue,florida-atlantic,W,28,26
illinois,wyoming,W,6,38
illinois,chattanooga,W,31,0
marshall,norfolk-state,W,55,3
bowling-green,marshall,W,34,31
troy,marshall,W,7,16
marshall,gardner-webb,W,7,28
marshall,louisiana,L,13,23
james-madison,marshall,L,12,26
florida-atlantic,charlotte,W,43,13
ohio,florida-atlantic,W,41,38
florida-atlantic,southeastern-louisiana,W,9,42
north-texas,florida-atlantic,W,45,28
