pass_cmp_home_off,pass_att_home_off,pass_pct_home_off,pass_yds_home_off,pass_td_home_off,rush_att_home_off,rush_yds_home_off,rush_avg_home_off,rush_td_home_off,total_plays_home_off,total_yds_home_off,total_avg_home_off,penalty_num_home_off,penalty_yds_home_off,fumbles_home_off,interceptions_home_off,turnovers_home_off,pass_cmp_home_def,pass_att_home_def,pass_pct_home_def,pass_yds_home_def,pass_td_home_def,rush_att_home_def,rush_yds_home_def,rush_avg_home_def,rush_td_home_def,total_plays_home_def,total_yds_home_def,total_avg_home_def,penalty_num_home_def,penalty_yds_home_def,fumbles_home_def,interceptions_home_def,turnovers_home_def,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,total_plays,total_yds,total_avg,penalty_num,penalty_yds,fumbles,interceptions,turnovers,pass_cmp_away_off,pass_att_away_off,pass_pct_away_off,pass_yds_away_off,pass_td_away_off,rush_att_away_off,rush_yds_away_off,rush_avg_away_off,rush_td_away_off,total_plays_away_off,total_yds_away_off,total_avg_away_off,penalty_num_away_off,penalty_yds_away_off,fumbles_away_off,interceptions_away_off,turnovers_away_off
18.0,26.2,68.8,243.2,2.0,38.8,188.5,4.9,2.0,65.0,431.7,6.6,9.5,70.3,0.5,0.5,1.0,18.5,28.8,64.2,173.8,0.8,29.7,95.0,3.2,0.8,58.5,268.8,4.6,7.5,64.8,0.7,0.8,1.5,20.9,35.0,59.6,220.6,1.9,35.6,134.4,3.8,0.9,70.6,355.0,5.0,7.6,62.4,0.6,0.6,1.1,19.1,33.0,58.0,188.4,1.0,28.0,122.4,4.4,1.0,61.0,310.9,5.1,6.1,60.3,0.3,1.6,1.9
17.1,28.4,60.3,197.0,2.0,34.1,150.0,4.4,1.4,62.6,347.0,5.5,5.1,45.0,1.3,0.1,1.4,24.6,37.0,66.4,333.0,2.9,34.1,160.7,4.7,2.1,71.1,493.7,6.9,6.0,52.3,0.9,0.4,1.3,20.8,31.5,66.1,292.8,3.3,39.8,147.7,3.7,1.7,71.3,440.5,6.2,4.7,43.0,0.2,0.3,0.5,18.8,32.7,57.7,235.3,2.3,38.7,149.7,3.9,0.7,71.3,385.0,5.4,6.5,56.7,1.0,0.8,1.8
20.8,31.5,66.1,292.8,3.3,39.8,147.7,3.7,1.7,71.3,440.5,6.2,4.7,43.0,0.2,0.3,0.5,18.8,32.7,57.7,235.3,2.3,38.7,149.7,3.9,0.7,71.3,385.0,5.4,6.5,56.7,1.0,0.8,1.8,15.6,29.7,52.4,223.4,1.7,40.3,180.4,4.5,2.1,70.0,403.9,5.8,6.4,57.9,0.7,1.6,2.3,18.0,32.6,55.3,209.9,1.0,37.4,130.7,3.5,1.3,70.0,340.6,4.9,8.6,69.1,1.0,1.6,2.6
19.1,31.4,60.9,260.6,1.9,36.3,204.4,5.6,2.1,67.7,465.0,6.9,7.0,63.7,0.4,0.7,1.1,17.0,27.9,61.0,175.0,1.7,39.9,157.0,3.9,1.0,67.7,332.0,4.9,6.1,52.4,0.6,0.6,1.1,20.8,31.5,66.1,292.8,3.3,39.8,147.7,3.7,1.7,71.3,440.5,6.2,4.7,43.0,0.2,0.3,0.5,18.8,32.7,57.7,235.3,2.3,38.7,149.7,3.9,0.7,71.3,385.0,5.4,6.5,56.7,1.0,0.8,1.8
20.8,31.5,66.1,292.8,3.3,39.8,147.7,3.7,1.7,71.3,440.5,6.2,4.7,43.0,0.2,0.3,0.5,18.8,32.7,57.7,235.3,2.3,38.7,149.7,3.9,0.7,71.3,385.0,5.4,6.5,56.7,1.0,0.8,1.8,4.7,9.8,47.5,106.5,0.8,54.5,316.8,5.8,3.2,64.3,423.3,6.6,5.7,48.0,1.2,0.5,1.7,16.2,25.0,64.7,196.7,1.8,40.7,217.0,5.3,2.2,65.7,413.7,6.3,5.0,35.8,0.5,0.5,1.0
18.0,30.2,59.7,230.0,0.7,41.8,207.2,5.0,2.7,72.0,437.2,6.1,7.7,68.8,1.0,0.8,1.8,18.2,28.3,64.1,227.5,1.7,35.2,133.8,3.8,1.2,63.5,361.3,5.7,10.3,71.8,0.7,1.3,2.0,19.1,31.4,60.9,260.6,1.9,36.3,204.4,5.6,2.1,67.7,465.0,6.9,7.0,63.7,0.4,0.7,1.1,17.0,27.9,61.0,175.0,1.7,39.9,157.0,3.9,1.0,67.7,332.0,4.9,6.1,52.4,0.6,0.6,1.1
19.1,31.4,60.9,260.6,1.9,36.3,204.4,5.6,2.1,67.7,465.0,6.9,7.0,63.7,0.4,0.7,1.1,17.0,27.9,61.0,175.0,1.7,39.9,157.0,3.9,1.0,67.7,332.0,4.9,6.1,52.4,0.6,0.6,1.1,20.5,34.0,60.3,236.3,1.8,31.2,68.0,2.2,0.7,65.2,304.3,4.7,5.2,36.2,1.0,1.0,2.0,17.8,31.3,56.9,219.0,1.3,37.0,152.7,4.1,2.2,68.3,371.7,5.4,6.2,50.0,0.2,0.7,0.8
20.9,35.0,59.6,220.6,1.9,35.6,134.4,3.8,0.9,70.6,355.0,5.0,7.6,62.4,0.6,0.6,1.1,19.1,33.0,58.0,188.4,1.0,28.0,122.4,4.4,1.0,61.0,310.9,5.1,6.1,60.3,0.3,1.6,1.9,19.1,31.4,60.9,260.6,1.9,36.3,204.4,5.6,2.1,67.7,465.0,6.9,7.0,63.7,0.4,0.7,1.1,17.0,27.9,61.0,175.0,1.7,39.9,157.0,3.9,1.0,67.7,332.0,4.9,6.1,52.4,0.6,0.6,1.1
26.1,38.6,67.8,309.0,2.4,33.6,165.7,4.9,1.9,72.1,474.7,6.6,4.3,32.0,0.3,0.7,1.0,19.7,30.3,65.1,278.3,1.9,35.4,109.9,3.1,1.0,65.7,388.1,5.9,6.1,55.6,0.6,0.7,1.3,20.9,35.0,59.6,220.6,1.9,35.6,134.4,3.8,0.9,70.6,355.0,5.0,7.6,62.4,0.6,0.6,1.1,19.1,33.0,58.0,188.4,1.0,28.0,122.4,4.4,1.0,61.0,310.9,5.1,6.1,60.3,0.3,1.6,1.9
20.9,35.0,59.6,220.6,1.9,35.6,134.4,3.8,0.9,70.6,355.0,5.0,7.6,62.4,0.6,0.6,1.1,19.1,33.0,58.0,188.4,1.0,28.0,122.4,4.4,1.0,61.0,310.9,5.1,6.1,60.3,0.3,1.6,1.9,33.0,50.7,65.1,365.0,2.5,36.3,119.2,3.3,1.8,87.0,484.2,5.6,6.3,49.8,0.5,1.7,2.2,16.5,30.0,55.0,220.5,1.2,36.2,146.5,4.1,1.7,66.2,367.0,5.5,6.8,63.5,0.7,0.3,1.0
20.9,35.0,59.6,220.6,1.9,35.6,134.4,3.8,0.9,70.6,355.0,5.0,7.6,62.4,0.6,0.6,1.1,19.1,33.0,58.0,188.4,1.0,28.0,122.4,4.4,1.0,61.0,310.9,5.1,6.1,60.3,0.3,1.6,1.9,12.4,21.0,58.9,103.1,1.0,41.0,186.9,4.6,1.3,62.0,290.0,4.7,5.9,50.0,1.1,0.5,1.6,21.6,32.8,66.0,238.5,1.4,37.0,156.0,4.2,2.0,69.8,394.5,5.7,4.4,37.4,0.5,0.9,1.4
