home_team,away_team,outcome,pts_for,pts_against
alabama,ole-miss,W,42,21
texas-a&m,alabama,W,41,38
mississippi-state,alabama,L,49,9
alabama,lsu,W,20,14
alabama,arkansas,W,42,35
auburn,alabama,L,22,24
alabama,georgia,W,41,24
alabama,cincinnati,W,6,27
alabama,georgia,L,18,33
texas-a&m,colorado,W,7,10
texas-a&m,arkansas,L,10,20
texas-a&m,mississippi-state,L,22,26
texas-a&m,auburn,W,3,20
ole-miss,texas-a&m,W,29,19
texas-a&m,prairie-view-a&m,W,52,3
lsu,texas-a&m,W,27,24
auburn,alabama-state,W,62,0
auburn,georgia-state,W,34,24
lsu,auburn,L,19,24
arkansas,auburn,L,23,38
auburn,ole-miss,W,31,20
auburn,mississippi-state,L,34,43
auburn,houston,L,13,17
lsu,mcneese-state,W,7,34
mississippi-state,lsu,L,25,28
ole-miss,lsu,W,31,17
lsu,arkansas,L,13,16
lsu,louisiana-monroe,W,27,14
lsu,kansas-state,L,20,42
ole-miss,louisville,W,43,24
ole-miss,austin-peay,W,54,17
ole-miss,arkansas,W,52,51
mississippi-state,ole-miss,L,21,31
ole-miss,baylor,L,21,7
arkansas,mississippi-state,W,31,28
mississippi-state,tennessee-state,W,55,10
mississippi-state,texas-tech,L,34,7
arkansas,georgia-southern,W,45,10
arkansas,texas-a&m,W,20,10
arkansas,arkansas-pine-bluff,W,45,3
arkansas,penn-state,W,24,10
coastal-carolina,the-citadel,W,52,14
coastal-carolina,louisiana-monroe,W,6,59
arkansas-state,coastal-carolina,L,20,52
appalachian-state,coastal-carolina,W,30,27
coastal-carolina,troy,W,35,28
georgia-southern,coastal-carolina,L,28,8
coastal-carolina,georgia-state,L,40,42
coastal-carolina,texas-state,W,35,21
south-alabama,coastal-carolina,L,21,27
coastal-carolina,northern-illinois,W,47,41
appalachian-state,east-carolina,W,33,19
appalachian-state,elon,W,44,10
georgia-state,appalachian-state,L,16,45
louisiana,appalachian-state,W,41,13
appalachian-state,louisiana-monroe,W,59,28
arkansas-state,appalachian-state,L,14,48
appalachian-state,south-alabama,W,7,31
troy,appalachian-state,L,45,7
appalachian-state,georgia-southern,W,3,27
louisiana,appalachian-state,W,24,16
appalachian-state,western-kentucky,L,38,59
georgia-southern,gardner-webb,W,30,25
georgia-southern,louisiana,L,20,28
georgia-southern,arkansas-state,W,59,33
troy,georgia-southern,W,27,24
south-alabama,georgia-southern,W,41,14
georgia-southern,georgia-state,L,14,21
texas-state,georgia-southern,L,30,38
louisiana-monroe,georgia-state,L,21,55
georgia-state,texas-state,W,28,16
louisiana,georgia-state,W,21,17
georgia-state,arkansas-state,W,28,20
georgia-state,troy,W,37,10
georgia-state,ball-state,W,51,20
troy,southern,W,55,3
louisiana-monroe,troy,W,29,16
texas-state,troy,L,28,31
troy,south-alabama,W,31,24
troy,louisiana,L,21,35
louisiana,nicholls-state,W,27,24
south-alabama,louisiana,L,18,20
arkansas-state,louisiana,L,27,28
louisiana,texas-state,W,45,0
louisiana,louisiana-monroe,W,21,16
louisiana,marshall,W,36,21
south-alabama,alcorn-state,W,28,21
texas-state,south-alabama,W,33,31
louisiana-monroe,south-alabama,W,41,31
south-alabama,arkansas-state,W,31,13
arkansas-state,central-arkansas,W,40,21
louisiana-monroe,arkansas-state,L,24,27
arkansas-state,texas-state,L,22,24
texas-state,incarnate-word,L,34,42
texas-state,louisiana-monroe,W,27,19
louisiana-monroe,jackson-state,W,7,12
