home_team,away_team,outcome,pts_for,pts_against
oklahoma,tulane,W,40,35
tulane,morgan-state,W,69,20
ole-miss,tulane,W,61,21
tulane,uab,L,21,28
east-carolina,tulane,W,52,29
tulane,south-florida,W,45,14
east-carolina,appalachian-state,L,19,33
east-carolina,south-carolina,L,17,20
marshall,east-carolina,L,38,42
east-carolina,charleston-southern,W,31,28
east-carolina,south-florida,W,29,14
east-carolina,temple,W,45,3
rutgers,temple,W,61,14
akron,temple,L,24,45
temple,wagner,W,7,41
south-florida,temple,W,34,14
south-florida,florida,L,20,42
south-florida,florida-a&m,W,38,17
byu,south-florida,W,35,27
oklahoma,western-carolina,W,76,0
oklahoma,nebraska,W,23,16
oklahoma,west-virginia,W,16,13
kansas-state,oklahoma,L,31,37
oklahoma,texas,W,55,48
oklahoma,texas-christian,W,52,31
kansas,oklahoma,L,23,35
oklahoma,texas-tech,W,52,21
baylor,oklahoma,W,27,14
oklahoma,iowa-state,W,28,21
oklahoma-state,oklahoma,W,37,33
oklahoma,oregon,W,47,32
iowa-state,northern-iowa,W,16,10
iowa-state,iowa,L,17,27
nevada-las-vegas,iowa-state,L,3,48
baylor,iowa-state,W,31,29
iowa-state,kansas,W,7,59
kansas-state,iowa-state,L,20,33
iowa-state,oklahoma-state,W,24,21
west-virginia,iowa-state,W,38,31
iowa-state,texas,W,7,30
texas-tech,iowa-state,W,41,38
iowa-state,texas-christian,W,48,14
iowa-state,clemson,L,13,20
oklahoma-state,missouri-state,W,23,16
boise-state,oklahoma-state,L,20,21
oklahoma-state,kansas-state,W,31,20
oklahoma-state,baylor,W,24,14
texas,oklahoma-state,L,24,32
oklahoma-state,kansas,W,55,3
west-virginia,oklahoma-state,L,24,3
oklahoma-state,texas-christian,W,63,17
texas-tech,oklahoma-state,L,0,23
oklahoma-state,baylor,L,16,21
oklahoma-state,notre-dame,W,37,35
texas,louisiana,W,38,18
arkansas,texas,W,40,21
texas,rice,W,58,0
texas,texas-tech,W,70,35
texas-christian,texas,L,27,32
texas,oklahoma,L,48,55
baylor,texas,W,31,24
texas,kansas,L,56,57
west-virginia,texas,W,31,23
texas,kansas-state,W,22,17
texas-christian,duquesne,W,45,3
texas-christian,california,W,34,32
texas-tech,texas-christian,L,31,52
texas-christian,west-virginia,L,17,29
kansas-state,texas-christian,W,31,12
texas-christian,baylor,W,30,28
texas-christian,kansas,W,31,28
maryland,west-virginia,W,30,24
west-virginia,liu,W,66,0
west-virginia,texas-tech,L,20,23
baylor,west-virginia,W,45,20
kansas-state,west-virginia,W,34,17
kansas,west-virginia,L,28,34
west-virginia,minnesota,L,18,6
kansas-state,stanford,W,7,24
kansas-state,southern-illinois,W,31,23
kansas-state,nevada,W,38,17
texas-tech,kansas-state,L,24,25
kansas,kansas-state,L,10,35
kansas-state,baylor,L,10,20
kansas-state,lsu,W,42,20
texas-tech,houston,W,38,21
texas-tech,stephen-f.-austin,W,28,22
texas-tech,florida-international,W,54,21
kansas,texas-tech,L,14,41
baylor,texas-tech,W,27,24
texas-tech,mississippi-state,W,7,34
texas-state,baylor,L,20,29
baylor,texas-southern,W,7,66
kansas,baylor,L,45,7
baylor,byu,W,38,24
baylor,oklahoma-state,W,21,16
baylor,ole-miss,W,7,21
kansas,south-dakota,W,17,14
coastal-carolina,kansas,W,49,22
minnesota,ohio-state,L,31,45
ohio-state,oregon,L,28,35
ohio-state,akron,W,7,59
rutgers,ohio-state,L,13,52
ohio-state,maryland,W,66,17
indiana,ohio-state,L,54,7
ohio-state,penn-state,W,33,24
nebraska,ohio-state,L,17,26
ohio-state,purdue,W,59,31
ohio-state,michigan-state,W,7,56
michigan,ohio-state,W,42,27
ohio-state,utah,W,48,45
iowa,indiana,W,6,34
indiana,idaho,W,56,14
western-kentucky,indiana,L,31,33
penn-state,indiana,W,24,0
indiana,michigan-state,L,15,20
maryland,indiana,W,38,35
michigan,indiana,W,7,29
