team,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,total_plays,total_yds,total_avg,remove_1,remove_2,remove_3,remove_4,penalty_num,penalty_yds,fumbles,interceptions,turnovers
california,21.3,34.5,61.6,192.8,1.5,37.0,125.3,3.4,1.0,71.5,318.0,4.4,9.3,6.0,3.0,18.3,4.3,33.8,0.5,0.8,1.3
washington-state,23.5,38.0,61.8,254.8,1.5,27.5,129.3,4.7,2.0,65.5,384.0,5.9,11.8,6.0,1.8,19.5,5.3,46.8,1.0,1.0,2.0
southern-california,29.7,44.2,67.2,319.3,2.8,30.7,97.3,3.2,1.3,74.8,416.7,5.6,14.7,6.2,1.7,22.5,6.7,71.0,0.7,1.2,1.8
colorado,16.3,29.7,55.1,201.5,1.0,46.0,212.3,4.6,2.5,75.7,413.8,5.5,8.8,9.2,2.0,20.0,5.7,56.3,0.7,1.2,1.8
utah,19.0,31.2,60.9,215.8,1.2,38.2,194.0,5.1,1.8,69.4,409.8,5.9,9.8,9.6,1.0,20.4,5.2,47.6,1.2,1.4,2.6
arizona-state,12.8,21.8,58.6,194.3,1.3,41.3,264.3,6.4,4.0,63.0,458.5,7.3,7.5,10.8,2.0,20.3,7.0,54.5,1.0,0.3,1.3
ucla,18.6,28.6,65.0,224.4,2.6,45.4,231.3,5.1,1.9,74.0,455.7,6.2,9.7,12.9,2.0,24.6,6.9,53.4,1.0,0.9,1.9
arizona,22.8,37.8,60.3,213.0,1.2,36.8,156.4,4.3,0.8,74.6,369.4,5.0,8.8,10.0,2.4,21.2,6.8,58.8,1.0,1.4,2.4
florida,26.8,39.4,67.9,378.6,3.8,30.6,131.3,4.3,1.0,70.0,509.8,7.3,16.8,7.3,2.3,26.3,5.3,45.2,0.8,0.8,1.6
georgia,17.8,30.6,58.2,249.9,1.9,37.7,174.2,4.6,1.8,68.3,424.1,6.2,10.0,9.8,1.1,20.9,5.5,52.8,0.4,1.1,1.5
missouri,24.6,36.3,67.8,266.8,0.9,35.1,135.2,3.9,2.1,71.4,402.0,5.6,13.0,7.5,1.8,22.3,5.8,49.8,0.8,0.6,1.4
kentucky,13.2,22.1,59.7,121.5,0.6,39.4,196.8,5.0,1.7,61.5,318.3,5.2,5.8,10.0,1.5,17.4,5.7,55.9,0.6,0.5,1.1
tennessee,17.9,28.5,62.8,204.7,1.4,37.5,141.5,3.8,1.2,66.0,346.2,5.2,9.4,8.9,1.9,20.2,6.1,50.2,0.6,0.9,1.5
south-carolina,17.5,29.5,59.3,187.2,0.8,36.9,167.9,4.6,2.1,66.4,355.1,5.3,9.4,8.4,1.7,19.5,5.0,43.7,0.6,0.9,1.5
vanderbilt,21.3,33.4,63.8,219.9,1.4,36.6,110.1,3.0,0.4,70.0,330.0,4.7,10.7,7.6,2.0,20.2,4.7,38.1,0.7,1.2,1.9
alabama,24.9,32.7,76.2,358.2,3.2,36.6,183.6,5.0,2.8,69.3,541.8,7.8,16.2,10.2,1.8,28.1,6.0,48.1,0.6,0.3,0.9
